# frame	rmsd_ca_A
0	16.668
1	14.891
2	14.101
3	12.709
4	11.458
5	9.692
6	9.374
7	8.762
8	8.187
9	8.197
10	7.515
11	6.996
12	6.723
13	6.117
14	6.572
15	6.573
16	5.479
17	5.847
18	4.932
19	4.520
20	5.603
21	5.068
22	5.377
23	5.151
24	5.209
25	5.095
26	4.751
27	4.438
28	4.280
29	4.492
30	4.411
31	4.320
32	4.361
33	4.370
34	4.256
35	4.195
36	4.241
37	4.468
38	4.615
39	4.502
40	4.358
41	4.312
42	4.325
43	4.267
44	4.265
45	4.442
46	4.457
47	4.410
48	4.647
49	5.441
50	5.121
min RMSD over 51 frames: 4.195 Å at frame 35
